Price,Close,High,Low,Open,Volume
Ticker,BEL.NS,BEL.NS,BEL.NS,BEL.NS,BEL.NS
Date,,,,,
2012-04-18,12.191771507263184,12.71411476016634,11.946621686931415,11.947022572458916,16954443
2012-04-19,12.2494535446167,12.461756480335316,12.225419321364388,12.257064318947613,1857636
2012-04-20,12.018725395202637,12.253459776056216,11.993089141689444,12.249453945984937,2106819
2012-04-23,11.789196968078613,12.177349438729928,11.776778594173965,12.097235874928927,3838923
2012-04-24,11.773175239562988,12.017524062583401,11.736723396707305,12.008711387842542,8158788
2012-04-25,11.8965482711792,12.17734888641173,11.776778060024135,11.856892376579195,4847139
2012-04-26,11.724703788757324,11.85689160830085,11.296092941528313,11.64659239190652,17491716
2012-04-27,11.711485862731934,11.792801327838013,10.824621981783025,10.824621981783025,2177307
2012-04-30,11.788397789001465,11.830457494883474,11.617354279119253,11.697467860534905,3306204
2012-05-02,11.679841041564941,11.920583381941363,11.65700796420532,11.808023806361145,1774080
2012-05-03,11.58170223236084,11.767967272906363,11.473147720698295,11.704677277931191,6763086
2012-05-04,11.41947078704834,11.598926826400238,11.376209941226172,11.48276078273537,2475693
2012-05-07,11.420668601989746,11.65860770722463,11.039726107478566,11.38381664347408,2750121
2012-05-08,11.331345558166504,11.47595102809456,11.215981285555877,11.475550898929788,1115829
2012-05-09,11.294090270996094,11.336951737709256,11.22559331157403,11.232803955737666,728046
2012-05-10,11.472345352172852,11.609740915437364,11.224392375328387,11.224392375328387,1150776
2012-05-11,11.215182304382324,11.408257141792532,11.13586973077543,11.360188686155636,3145725
2012-05-14,10.89632511138916,11.29569408351811,10.744108119392695,11.244020695133823,3957129
2012-05-15,10.70405101776123,11.015694880957588,10.671204122487346,10.752920475154276,2977920
2012-05-16,10.565455436706543,10.735297045964618,10.502966449969678,10.703251915999187,1019106
2012-05-17,10.424450874328613,10.957210258762832,10.335524645424709,10.591889386730406,2893275
2012-05-18,9.926142692565918,10.469316862318406,9.854440912600444,10.203337636471268,6286500
2012-05-21,10.088374137878418,10.245397982547937,9.894097436116464,9.894097436116464,2417778
2012-05-22,10.068344116210938,10.214552347631773,9.992235628519415,10.182506469554365,687456
2012-05-23,9.872064590454102,10.133236947757405,9.759504265603391,10.07595494980515,2505789
2012-05-24,9.988232612609863,10.030292316231828,9.830006860679054,9.89449875921374,1066923
2012-05-25,9.947373390197754,10.033095577616615,9.878074651397768,10.033095577616615,933966
2012-05-28,10.193726539611816,10.222567613141347,9.9601932647601,9.974213672285497,950499
2012-05-29,10.196527481079102,10.254609740352723,10.122822789125832,10.135239650502276,1017126
2012-05-30,10.054729461669922,10.21495741676912,10.014271776312372,10.21495741676912,397089
2012-05-31,9.969806671142578,10.046315306937252,9.917732389976784,9.934155840387161,1370457
2012-06-01,9.776328086853027,10.14765694945623,9.72986167924729,9.97541159188385,1032867
2012-06-04,9.91933536529541,10.046316264796669,9.533585821247069,9.772326068756458,1752003
2012-06-05,9.646143913269043,10.006257115099695,9.613697902578494,9.934154448905257,3671811
2012-06-06,9.940963745117188,10.093179973511905,9.677388329353038,9.814383010547058,4560534
2012-06-07,10.24820327758789,10.358760711558128,10.055928722990904,10.214954735700093,1902384
2012-06-08,10.390002250671387,10.53500856759686,10.174894684214927,10.20133270118594,3082761
2012-06-11,10.279046058654785,10.510976489680516,10.208144536577425,10.485740367523961,1611918
2012-06-12,10.118014335632324,10.313893786717193,10.078358441786863,10.112005591817791,6334119
2012-06-13,10.099588394165039,10.214951884502367,9.993036063741819,9.993036063741819,4589442
2012-06-14,9.983423233032227,10.16648419151498,9.9361558073792,10.030690658685254,1769130
2012-06-15,9.904510498046875,9.99023267317369,9.862050674161585,9.989832544077132,1356894
2012-06-18,9.91332721710205,10.078362761676752,9.874873206814486,9.936560431366548,1147410
2012-06-19,10.022679328918457,10.082365130286899,9.826399732016899,10.078359300735805,753984
2012-06-20,10.09878921508789,10.133238141181439,10.032293650562687,10.032694536098203,1839321
2012-06-21,10.27944564819336,10.31910230144513,10.062335890881155,10.17449609173918,2498760
2012-06-22,10.2954683303833,10.406025738774588,10.174094577860412,10.269029554664701,2175723
2012-06-25,10.376386642456055,10.462109604322125,10.270636039815182,10.302681172720433,1165230
2012-06-26,10.371577262878418,10.41363696228294,10.30267865555082,10.397213514216718,547965
2012-06-27,10.365164756774902,10.399214300044545,10.17409293398106,10.17409293398106,1861299
2012-06-28,10.522592544555664,10.61512449003021,10.363565790944273,10.525797359676364,1439955
2012-06-29,10.739302635192871,10.815009493530363,10.53821541666216,10.53821541666216,3630825
2012-07-02,10.85066032409668,10.975637520894097,10.665996567438196,10.734494288569337,1595781
2012-07-03,10.956411361694336,10.998871191614862,10.654781298521316,10.654781298521316,1132956
2012-07-04,10.930774688720703,10.996868609722815,10.78576683015607,10.78576683015607,2566575
2012-07-05,10.932777404785156,11.02691213853736,10.793779040079544,10.793779040079544,1908423
2012-07-06,10.886308670043945,11.211572005265273,10.414436983445373,10.414436983445373,2450151
2012-07-09,10.722075462341309,10.934377604627153,10.695237314091578,10.934377604627153,598257
